03	09	05	30	08	19	21
12	28	21	08	11	14	20
11	25	28	12	21	29	24
15	19	07	13	29	06	18
02	08	09	17	24	19	28
19	18	11	01	26	31	30
25	06	02	05	24	14	20
24	01	21	27	04	22	13
18	24	23	03	10	19	13
18	30	19	06	20	13	10
07	13	27	19	31	16	20
22	07	12	03	02	21	17
20	21	09	26	01	07	04
16	26	31	01	08	20	21
26	13	16	08	11	29	28
16	07	01	12	02	20	25
09	20	19	14	11	22	13
21	07	08	27	14	04	31
29	28	12	14	03	04	09
17	31	12	21	06	26	29
18	31	08	11	10	12	02
04	12	05	02	27	22	18
19	27	09	17	10	25	28
07	16	30	18	08	12	15
29	13	17	25	10	21	01
28	02	11	20	08	10	16
23	20	28	12	15	17	06
20	24	18	09	15	02	12
21	03	22	27	05	13	24
08	04	09	30	27	20	17
06	07	28	04	11	09	24
18	03	20	07	16	04	27
13	28	31	12	10	23	03
15	18	29	27	23	06	12
17	23	03	07	11	22	12
11	12	07	16	13	02	27
18	16	02	23	22	12	07
08	17	29	26	30	18	15
06	25	04	09	13	05	30
27	19	14	12	21	10	02
23	07	25	31	12	27	30
14	31	17	11	29	16	06
27	28	04	31	18	17	07
31	26	23	09	30	07	15
29	02	12	15	30	05	07
05	08	01	16	04	30	10
07	16	13	20	15	22	05
10	29	06	31	17	23	08
11	04	20	16	17	23	31
23	16	31	14	22	17	18
02	16	10	28	14	24	08
26	20	14	22	24	07	12
25	16	03	19	07	18	30
18	25	11	21	27	04	24
18	28	01	22	25	16	08
15	09	31	17	10	23	16
12	28	03	05	26	10	18
30	11	25	24	29	13	12
24	08	10	04	25	05	03
08	01	07	17	06	18	22
05	08	13	28	25	19	10
18	07	11	23	13	30	28
28	02	09	06	03	27	29
20	05	18	17	27	08	06
31	28	20	27	30	07	21
17	11	24	04	10	12	06
19	22	01	04	26	14	08
04	06	01	20	21	14	27
01	26	08	05	29	06	03
09	29	11	05	04	28	02
27	31	08	07	04	24	06
18	01	09	02	06	08	21
09	14	08	23	18	11	10
15	23	12	17	06	29	20
06	02	30	03	14	28	31
15	10	16	29	21	25	26
11	19	06	21	12	07	14
13	06	19	23	04	08	14
15	21	08	28	10	12	01
18	03	28	04	19	02	10
10	27	29	26	25	06	12
16	10	17	13	09	02	22
26	13	09	21	02	15	10
18	16	07	24	10	15	19
22	21	31	07	03	23	26
08	03	09	26	11	19	06
18	07	09	21	15	10	22
19	17	23	27	18	04	03
06	16	24	03	31	18	19
26	06	05	12	23	08	01
16	29	08	23	10	28	15
26	15	08	05	09	29	07
01	23	16	30	21	09	08
10	26	15	13	23	07	19
08	18	07	28	20	23	05
17	04	28	29	09	03	15
01	10	22	12	25	23	28
12	01	27	26	03	07	28
27	04	14	28	29	30	20
21	16	04	03	15	20	08
13	20	04	09	19	05	29
26	22	04	10	28	19	07
05	04	26	25	23	19	31
13	30	25	26	27	03	20
12	29	21	24	08	07	03
08	28	20	17	26	05	25
07	20	18	04	15	13	23
22	17	06	25	15	02	24
18	24	26	03	28	23	20
04	18	08	14	11	26	10
06	17	14	26	08	01	21
25	11	21	13	26	18	24
09	30	06	17	10	27	12
08	29	07	23	31	26	09
18	21	16	13	22	07	08
30	24	16	02	05	18	12
05	16	27	07	09	18	20
02	09	07	30	05	22	15
06	12	03	02	28	25	24
22	28	08	02	21	16	27
03	10	24	19	09	12	14
13	14	16	12	31	15	23
23	06	19	18	21	16	11
27	20	21	24	15	12	22
17	30	13	08	01	12	26
18	27	29	11	09	24	14
05	01	22	07	09	17	21
19	20	08	07	15	22	02
13	28	12	15	16	29	06
05	28	20	25	08	23	10
22	30	05	11	04	26	27
11	14	26	19	23	03	18
22	10	04	01	20	31	08
01	08	02	10	16	18	14
25	02	05	11	27	06	28
23	30	19	27	20	17	21
28	06	03	16	08	19	05
09	15	29	13	17	21	27
11	22	04	18	19	13	03
08	09	17	22	14	05	12
02	15	07	09	23	30	25
06	29	18	30	11	23	21
05	22	11	29	15	10	31
02	08	15	27	07	13	04
11	13	02	03	15	10	06
19	01	23	18	09	08	17
08	27	06	02	09	03	22
29	18	11	21	07	22	09
30	26	21	20	03	16	25
17	01	26	29	07	02	16
31	13	17	03	29	11	22
01	10	31	05	14	03	25
21	13	02	29	30	23	25
03	09	30	05	29	14	21
16	13	27	03	15	28	25
31	16	03	29	01	15	07
20	10	25	18	17	29	02
14	28	29	20	27	23	07
01	31	10	17	23	28	14
09	12	08	30	04	25	13
02	20	25	03	15	14	05
20	10	24	06	14	25	11
18	24	25	07	10	27	16
22	10	17	07	13	12	21
04	08	11	19	24	07	05
06	22	23	07	11	25	19
10	11	15	20	12	26	13
01	23	25	04	03	20	26
09	18	14	29	24	11	26
09	01	10	21	11	20	15
03	20	23	11	18	29	07
25	21	10	27	03	30	06
28	07	25	27	11	13	02
07	03	19	17	06	25	05
21	04	06	26	07	31	17
18	10	06	29	03	09	04
03	18	25	17	28	24	11
24	23	02	03	04	09	12
05	04	21	11	30	03	24
05	23	25	20	13	30	21
10	06	08	17	26	15	28
26	15	22	07	31	03	02
24	07	16	27	21	05	17
10	14	17	06	09	22	16
18	11	24	29	07	21	28
17	23	06	22	27	26	15
01	15	06	26	03	23	17
26	21	28	08	24	23	12
20	07	18	29	16	13	02
16	27	04	05	03	06	14
28	03	26	29	11	24	04
04	14	15	11	18	31	28
30	31	13	28	16	25	12
04	09	21	15	03	07	23
23	22	03	14	05	15	02
29	14	04	13	26	30	22
28	04	02	17	18	01	11
16	28	23	10	02	09	01
15	23	22	21	20	24	02
17	21	13	12	10	23	27
13	14	02	16	07	09	29
05	06	29	07	11	26	21
20	17	10	02	03	15	07
11	21	02	31	27	28	20
05	17	23	06	19	09	20
21	13	24	27	23	16	28
12	10	05	28	08	25	01
17	28	21	04	02	29	31
17	14	05	29	23	07	19
18	19	23	27	10	07	20
05	26	13	24	01	29	27
05	14	30	18	26	11	17
21	18	09	26	06	24	10
29	21	09	28	11	02	13
13	18	07	04	11	15	25
30	08	25	28	05	09	14
16	26	17	02	18	06	20
12	03	11	02	18	21	17
03	16	25	28	06	17	10
25	31	17	02	09	04	19
07	03	09	15	27	06	31
18	12	27	19	03	16	13
03	14	28	04	19	10	11
08	14	19	01	17	23	06
07	26	01	22	12	24	14
12	24	04	28	22	08	01
20	02	12	17	11	25	15
23	14	22	21	10	04	18
27	30	21	15	09	25	13
12	24	18	27	05	08	29
10	13	04	12	14	24	26
16	12	26	05	15	04	06
16	06	23	22	07	28	03
29	13	17	24	05	23	04
19	22	29	17	13	18	27
05	04	09	19	06	23	11
